4.57E+00	5.40E+00	3.70E+00     5.86E+00	6.01E+00	5.99E+00
6.06E+00	6.10E+00	6.07E+00     6.17E+00	6.16E+00	6.12E+00
5.98E+00	5.99E+00	6.06E+00     6.04E+00	6.20E+00	6.21E+00
5.93E+00	5.99E+00	5.97E+00     6.01E+00	6.03E+00	6.01E+00
6.02E+00	5.97E+00	5.97E+00     5.99E+00	5.99E+00	5.99E+00
1.85E+00	4.33E+00	4.69E+00     6.49E+00	5.90E+00	5.79E+00
7.83E+00	8.07E+00	7.61E+00     9.75E+00	9.04E+00	8.97E+00
3.68E+00	5.57E+00	8.15E+00     9.39E+00	7.87E+00	9.10E+00
5.72E+00	8.19E-01	1.92E+00     5.73E+00	5.84E+00	5.73E+00
5.85E+00	6.20E+00	6.13E+00     7.08E+00	6.65E+00	6.52E+00
5.86E+00	5.89E+00	6.04E+00     6.56E+00	6.37E+00	6.38E+00
6.02E+00	5.57E+00	4.72E+00     5.78E+00	5.97E+00	6.06E+00
5.99E+00	5.91E+00	5.97E+00     7.38E+00	7.26E+00	6.77E+00
5.96E+00	6.00E+00	6.08E+00     6.61E+00	6.37E+00	6.43E+00
6.01E+00	2.55E+00	5.93E+00     7.83E+00	8.22E+00	7.25E+00
6.26E+00	6.31E+00	5.45E+00     6.28E+00	6.87E+00	6.22E+00
5.99E+00	5.98E+00	6.04E+00     6.04E+00	6.19E+00	6.64E+00
6.12E+00	6.44E+00	5.92E+00     7.03E+00	5.91E+00	6.42E+00
4.31E+00	5.74E+00	5.04E-01     6.01E+00	5.63E+00	5.94E+00
5.91E+00	6.06E+00	6.24E+00     6.15E+00	6.47E+00	6.52E+00
3.52E+00	3.47E+00	5.99E+00     7.38E+00	7.78E+00	7.07E+00
5.17E+00	8.11E-01	4.61E+00     5.73E+00	7.06E+00	6.34E+00
5.96E+00	6.18E+00	6.48E+00     6.79E+00	8.33E+00	6.36E+00
5.26E+00	7.23E+00	1.84E+00     6.04E+00	6.96E+00	7.33E+00
6.69E+00	6.75E+00	4.83E+00     7.88E+00	8.52E+00	8.39E+00
4.03E+00	1.52E+00	4.63E+00     5.82E+00	5.92E+00	5.32E+00
3.64E+00	5.57E+00	3.17E+00     8.47E+00	7.69E+00	8.01E+00
5.58E+00	6.30E+00	5.51E+00     8.81E+00	7.19E+00	7.97E+00
1.79E+00	5.63E+00	5.56E+00     6.07E+00	5.94E+00	5.92E+00
-1.02E+00	4.78E+00	5.17E+00     7.07E+00	6.46E+00	7.62E+00
7.60E+00	2.59E+00	4.92E+00     1.02E+01	8.66E+00	1.02E+01
5.73E+00	6.18E+00	5.80E+00     6.31E+00	6.69E+00	5.84E+00
5.20E+00	4.47E+00	4.84E+00     7.09E+00	6.45E+00	6.95E+00
6.01E+00	6.31E+00	6.02E+00     6.66E+00	6.97E+00	6.02E+00
-1.20E-01	3.64E+00	2.05E+00     6.02E+00	5.83E+00	6.55E+00
2.34E+00	5.24E+00	5.81E+00     6.46E+00	6.55E+00	6.38E+00
6.65E+00	3.84E+00	4.46E+00     7.84E+00	6.90E+00	6.61E+00
6.01E+00	6.10E+00	6.48E+00     6.44E+00	6.72E+00	7.43E+00
3.69E+00	6.09E+00	6.00E+00     6.18E+00	6.66E+00	6.97E+00
6.08E+00	6.25E+00	6.73E+00     6.79E+00	6.74E+00	6.76E+00
5.76E+00	1.14E+00	6.54E+00     8.00E+00	7.70E+00	6.60E+00
5.81E+00	4.64E+00	2.10E-01     6.71E+00	5.69E+00	5.98E+00
6.58E+00	3.94E+00	1.91E+00     9.49E+00	7.43E+00	8.51E+00
6.08E+00	7.83E+00	5.97E+00     8.49E+00	8.19E+00	7.74E+00
3.48E+00	7.61E-01	5.28E+00     5.99E+00	7.66E+00	6.12E+00
5.95E+00	6.57E+00	5.74E+00     7.10E+00	6.18E+00	7.19E+00
2.11E+00	5.87E+00	5.32E+00     6.32E+00	6.00E+00	6.13E+00
1.44E+00	6.02E+00	5.21E+00     7.90E+00	6.03E+00	5.96E+00
7.03E+00	2.79E+00	3.66E-01     7.03E+00	6.36E+00	6.85E+00
6.53E+00	8.19E+00	6.39E+00     7.49E+00	7.48E+00	6.97E+00
5.72E+00	2.63E+00	2.59E+00     6.47E+00	8.79E+00	6.57E+00
4.14E+00	6.08E+00	5.70E+00     8.65E+00	6.95E+00	7.42E+00
5.57E+00	5.56E+00	5.69E+00     7.49E+00	6.41E+00	6.46E+00
4.36E+00	3.11E+00	3.83E+00     6.12E+00	6.34E+00	7.14E+00
5.86E+00	6.04E+00	6.38E+00     7.00E+00	7.04E+00	6.23E+00
1.69E-02	6.40E+00	2.94E+00     6.30E+00	7.28E+00	7.95E+00
5.46E+00	4.60E+00	5.55E+00     6.89E+00	7.55E+00	5.89E+00
5.98E+00	3.90E+00	7.07E+00     8.75E+00	1.05E+01	7.28E+00
4.32E+00	3.71E+00	5.32E+00     6.49E+00	5.96E+00	6.82E+00
-1.54E-01	2.73E+00	6.59E+00     8.94E+00	6.98E+00	8.10E+00
1.27E+00	4.19E+00	5.65E+00     8.23E+00	7.96E+00	6.98E+00
2.48E+00	2.49E+00	1.82E+00     6.83E+00	7.60E+00	7.64E+00
4.30E+00	7.68E+00	6.88E+00     5.94E+00	8.39E+00	7.10E+00
2.30E+00	1.20E+00	6.69E+00     6.57E+00	6.10E+00	6.21E+00
-1.75E+00	5.63E+00	2.33E+00     7.93E+00	6.69E+00	7.07E+00
-6.80E-01	4.71E+00	5.55E+00     7.97E+00	6.03E+00	8.77E+00
4.79E+00	2.41E+00	3.93E+00     9.85E+00	7.47E+00	8.41E+00
4.54E-01	1.35E+00	4.47E+00     6.27E+00	6.84E+00	6.99E+00
1.35E+00	4.06E+00	1.62E+00     6.77E+00	7.16E+00	8.27E+00
1.34E+00	1.07E+00	6.41E+00     6.46E+00	7.88E+00	6.46E+00
7.37E-01	1.58E+00	4.47E+00     8.12E+00	7.96E+00	6.15E+00
7.38E+00	3.14E+00	1.08E-01     6.27E+00	7.26E+00	8.17E+00
1.51E+00	5.72E+00	4.03E+00     7.07E+00	7.55E+00	8.23E+00
-2.76E-01	5.93E+00	3.05E+00     7.10E+00	6.72E+00	5.68E+00
2.16E+00	3.03E+00	4.65E+00     8.59E+00	7.56E+00	5.78E+00
1.47E+00	2.01E+00	5.24E+00     7.01E+00	5.64E+00	7.97E+00
1.36E+00	5.54E+00	5.42E+00     7.10E+00	7.10E+00	8.68E+00
4.15E+00	6.52E+00	-6.03E-01    6.12E+00	5.92E+00	6.74E+00
5.67E+00	-4.60E-01	6.16E+00     7.40E+00	6.94E+00	7.25E+00
4.77E+00	2.89E+00	2.67E+00     6.70E+00	6.96E+00	6.39E+00
